date,title,explanation,media_type,url,hdurl,thumbnail_url,service_version,copyright,fetched_at
2025-11-09,Road to the Galactic Center,"Does the road to our galaxy's center go through Monument Valley? It doesn't have to, but if your road does -- take a picture. In this case, the road is US Route 163 and iconic buttes on the Navajo National Reservation populate the horizon.  The band of Milky Way Galaxy stretches down from the sky and appears to be a continuation of the road on Earth. Filaments of dust darken the Milky Way, in contrast to billions of bright stars and several colorful glowing gas clouds including the Lagoon and Trifid nebulas. The featured picture is a composite of images taken with the same camera and from the same location -- Forrest Gump Point in Utah, USA. The foreground was taken just after sunset in early 2021 September during the blue hour, while the background is a mosaic of four exposures captured a few hours later.",image,https://apod.nasa.gov/apod/image/2511/MonumentValleyRoad_Abramyan_960.jpg,https://apod.nasa.gov/apod/image/2511/MonumentValleyRoad_Abramyan_2048.jpg,,v1,"
Michael Abramyan
",2025-12-08 23:27:19
2025-11-10,Micro Moon vs. Super Moon,"What was so super about Wednesday's supermoon?  Last week, a full moon occurred that appeared slightly larger and brighter than usual.  The reason is that the Moon's fully illuminated phase occurred within a short time from perigee - when the Moon was its closest to the Earth in its elliptical orbit.  Although the precise conditions that define a supermoon vary, last Wednesday's supermoon was surely the closest, largest, and brightest full moon this year.  One reason supermoons are popular is because they are so easy to see -- just go outside at sunset and watch an impressive full moon rise!  Pictured here, Wednesday's supermoon is compared to April's micro moon -- when a full Moon occurs near the furthest part of the Moon's orbit -- so that it appears slightly smaller and dimmer than usual.  Given many definitions, at least one supermoon occurs each year, with another one coming next month (moon-th).",image,https://apod.nasa.gov/apod/image/2511/SuperMicroMoon_Sanli_960.jpg,https://apod.nasa.gov/apod/image/2511/SuperMicroMoon_Sanli_3456.jpg,,v1,"
Şenol Şanlı""
",2025-12-08 23:27:19
2025-11-11,Jupiter in Ultraviolet from Hubble,"Jupiter looks a bit different in ultraviolet light.  To better interpret  Jupiter's cloud motions and to help NASA's robotic Juno spacecraft understand the planetary context of the small fields that it sees, the Hubble Space Telescope was being directed to regularly image the entire Jovian giant. The colors of Jupiter being monitored go beyond the normal human visual range to include both ultraviolet and (not pictured) infrared light.  Featured from 2017, Jupiter appears different in near ultraviolet light, partly because the amount of sunlight reflected back is distinct, giving differing cloud heights and latitudes discrepant brightnesses. In the near UV, Jupiter's poles appear relatively dark, as does its Great Red Spot and a smaller (optically) white oval to the right.  The String of Pearl storms farther to the right, however, are brightest in near ultraviolet, and so here appear (false-color) pink.  Jupiter's largest moon Ganymede appears on the upper left. Juno continues on a looping 33-day orbit around Jupiter, while Earth-orbiting Hubble is aging and now relies on a single stabilizing gyroscope.",image,https://apod.nasa.gov/apod/image/2511/JupiterUV_HubbleSchmidt_960.jpg,https://apod.nasa.gov/apod/image/2511/JupiterUV_HubbleSchmidt_1280.jpg,,v1,,2025-12-08 23:27:19
2025-11-12,A Super Lunar Corona,"What are those colorful rings around the Moon?  A corona.  Rings like this will sometimes appear when the Moon is seen through thin clouds.  The effect is created by the diffraction of light around individual, similarly-sized water droplets in an intervening but mostly transparent cloud.  Since light of different colors has different wavelengths, each color diffracts differently.  Lunar coronae are one of the few color  diffraction effects that can be easily seen with the unaided eye.  The featured image of a lunar corona was captured around last week's full Super Moon from near Knight's Ferry, California, USA.  To the right of the full Moon is the giant orange star Botein.  Similar coronae that form around the Sun are typically harder to see because of the Sun's great brightness.",image,https://apod.nasa.gov/apod/image/2511/SuperLunarCorona_Houck_960.jpg,https://apod.nasa.gov/apod/image/2511/SuperLunarCorona_Houck_4098.jpg,,v1,"
Eric Houck
",2025-12-08 23:27:19
2025-11-13,Orion and the Running Man,"Few cosmic vistas can excite the imagination like The Great Nebula in Orion. Visible as a faint, bland celestial smudge to the naked-eye, the nearest large star-forming region sprawls across this sharp colorful telescopic image. Designated M42 in the Messier Catalog, the Orion Nebula's glowing gas and dust surrounds hot, young stars. About 40 light-years across, M42 is at the edge of an immense interstellar molecular cloud only 1,500 light-years away that lies within the same spiral arm of our Milky Way galaxy as the Sun. Including dusty bluish reflection nebula NGC 1977, also known as the Running Man nebula at left in the frame, the natal nebulae represent only a small fraction of our galactic neighborhood's wealth of star-forming material. Within the well-studied stellar nursery, astronomers have also identified what appear to be numerous infant solar systems.",image,https://apod.nasa.gov/apod/image/2511/lrg_gabany_M42_2025_1024.jpg,https://apod.nasa.gov/apod/image/2511/lrg_gabany_M42_2025.jpg,,v1,R. Jay Gabany,2025-12-08 23:27:19
2025-11-14,Florida Northern Lights,"Northern lights have come to Florida skies. In fact, the brilliant streak of a Northern Taurid meteor flashes through the starry night sky above the beach in this sea and skyscape, captured from Shired Island, Florida on November 11. Meteors from the annual Northern Taurid meteor shower are expected this time of year. But the digital camera exposure also records the shimmering glow of aurora, a phenomenon more often seen from our fair planet's higher geographical latitudes. Also known as aurora borealis, these northern lights are part of recent, wide spread auroral activity caused by strong geomagnetic storms. In the last few days, stormy spaceweather has been triggered by multiple Earth impacting coronal mass ejections and intense solar activity.",image,https://apod.nasa.gov/apod/image/2511/DSC07080-Edit1024.jpeg,https://apod.nasa.gov/apod/image/2511/DSC07080-Edit.jpeg,,v1,Samil Cabrera,2025-12-13 05:08:28
2025-11-15,Andromeda and Friends,"This magnificent extragalactic skyscape looks toward the Andromeda Galaxy, the closest large spiral galaxy to the Milky Way. It also accomplishes a Messier catalog trifecta by including Andromeda, cataloged as Messier 31 (M31), along with Messier 32 (M32), and Messier 110 (M110) in the same telescopic field of view.  In this frame, M32 is just left of the Andromeda Galaxy's bright core with M110 below and to the right. M32 and M110 are both elliptical galaxies themselves and satellites of the larger spiral Andromeda. By combining 60 hours of broadband and narrowband image data, the deep telescopic view also reveals tantalizing details of dust lanes, young star clusters, and star-forming regions along Andromeda's spiral arms, and faint, foreground clouds of glowing hydrogen gas. For now, Andromeda and friends are some 2.5 million light-years from our own large spiral Milky Way.   Fun Fact: It has been 11,111 days since APOD was founded.",image,https://apod.nasa.gov/apod/image/2511/M31AB_1024.jpg,https://apod.nasa.gov/apod/image/2511/M31AB.jpg,,v1,Piotr Czerski,2025-12-13 05:08:28
2025-11-16,Crossing Saturn's Ring Plane,"If this is Saturn, where are the rings?  When Saturn's ""appendages"" disappeared in 1612, Galileo did not understand why.   Later that century, it became understood that Saturn's unusual protrusions were rings and that when the Earth crosses the ring plane, the edge-on rings will appear to disappear.  This is because Saturn's rings are confined to a plane many times thinner, in proportion, than a razor blade.  In modern times, the robotic Cassini spacecraft that orbited Saturn frequently crossed Saturn's ring plane during its mission to Saturn, from 2004 to 2017.  A series of plane crossing images from 2005 February was dug out of the vast online Cassini raw image archive by interested Spanish amateur Fernando Garcia Navarro.  Pictured here, digitally cropped and set in representative colors, is the striking result.  Saturn's thin ring plane appears in blue, bands and clouds in Saturn's upper atmosphere appear in gold. Details of Saturn's rings can be seen in high dark shadows.  The moons Dione and Enceladus appear as bumps in the rings.",image,https://apod.nasa.gov/apod/image/2511/saturnplane_cassini_1004.jpg,https://apod.nasa.gov/apod/image/2511/saturnplane_cassini_1004.jpg,,v1,,2025-12-13 05:08:28
2025-11-17,Comet Lemmon's Wandering Tail,"What has happened to Comet Lemmon's tail? The answer is blowing in the wind — the wind from the Sun in this case. This continuous outflow of charged particles from the Sun has been quite variable of late, as the Sun emits bursts of energy, CMEs, that push out and deflect charged particles emitted by the comet itself. The result is a blue hued ion tail for Comet C/2025 A6 (Lemmon) that is not only impressively intricate but takes some unusual turns. This long-duration composite image taken from Alfacar, Spain last month captured this inner Solar System ionic tumult. Comet Lemmon is now fading as it heads out away from the Earth and Sun and back into the outer Solar System.",image,https://apod.nasa.gov/apod/image/2511/LemmonTail_Fernandez_960.jpg,https://apod.nasa.gov/apod/image/2511/LemmonTail_Fernandez_3728.jpg,,v1,,2025-12-13 05:08:28
2025-11-18,The Galactic Plane: Radio Versus Visible,"What does the Milky Way look like in radio waves? To better find out, GLEAM surveyed the central band of our galaxy in high resolution radio light as imaged by the Murchison Widefield Array in Australia.  As the featured video slowly scrolls, radio light (71 - 231 MHz) is seen on the left and visible light -- from the same field -- on the right. Differences are so great because most objects glow differently in radio and visible light, and because visible light is stopped by nearby interstellar dust. These differences are particularly apparent in the direction toward the center of our galaxy, seen about a third of the way through.  Among the many features that appear in the radio, bright red patches are usually supernova remnants of exploded stars, while areas colored blue are stellar nurseries filled with bright young stars.    Did you know: APOD is available from numerous sites, including social media?",other,,,,v1,,2025-12-13 05:08:28
